360000, 37, 198839, 187955, 163120, 140383, 121771, 102568, 7000, 8071, 7029, 3011, 4000, 9000
50000, 25, 47054, 48008, 48913, 49847, 50840, 49502, 2000, 2000, 2000, 1900, 1900, 1600
290000, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
220000, 47, 103078, 111729, 115173, 116513, 119370, 121516, 10000, 6500, 5000, 5000, 5000, 5000
150000, 31, 23427, 25252, 19004, 15206, 1423, 8923, 5554, 5070, 5076, 1457, 9047, 22720
590000, 31, -154, 240, 244, -1469, 925, 3319, 1000, 1026, 0, 3000, 3000, 2271
50000, 45, 15240, 16252, 17678, 18658, 18784, 18779, 1574, 2000, 1290, 806, 824, 697
30000, 56, 14909, 15565, 16620, 16056, 17386, 16968, 1200, 1600, 0, 1600, 0, 700
380000, 39, 55241, 49773, 81365, 87341, 87358, 103740, 10000, 60218, 10076, 15012, 20667, 15000
160000, 36, 2992, 1300, 8899, 6257, -1197, 12151, 1300, 12038, 10696, 613, 14262, 0
180000, 42, 258662, 265416, 279551, 285045, 298652, 296036, 11056, 20000, 12000, 18000, 0, 5651
180000, 30, 173094, 131039, 132269, 144990, 152632, 155935, 7000, 4900, 15000, 10000, 6000, 6500
160000, 35, 11988, -890, -890, -890, -890, -890, 0, 0, 0, 0, 0, 0
20000, 23, 11672, 8584, 8279, 8444, 8621, 8868, 2424, 0, 284, 294, 371, 500
90000, 24, 13141, 14526, 15482, 18219, 22737, 23387, 1600, 1500, 3000, 5000, 1020, 764
390000, 31, 49667, 33900, 33545, 16666, 0, 0, 1700, 17000, 333, 0, 16666, 13807
70000, 22, 31377, 31420, 30940, 24765, 25942, 27073, 6000, 1125, 1300, 3000, 2500, 1200
180000, 53, 0, 533, 2329, 1778, 2510, 184, 533, 2329, 1778, 2514, 184, 1103
200000, 32, 0, 0, -10542, 148287, 146948, 148772, 0, 1685, 326974, 5200, 5500, 6000
270000, 33, 0, 0, 1205, 0, 0, 0, 0, 1205, 0, 0, 0, 0
60000, 26, 4837, 3642, 6232, 6444, 3783, 3219, 0, 6472, 6444, 3219, 0, 0
60000, 24, 15050, 16203, 16891, 15474, 14612, 16354, 2000, 1300, 2000, 1000, 2000, 1000
190000, 33, 115056, 108137, 89722, 69861, 49894, 49727, 0, 4413, 2942, 2000, 1583, 1500
300000, 29, 143568, 147715, 149506, -4394, -4394, -4394, 7951, 6890, 0, 0, 0, 0
200000, 28, 50925, 51519, 53693, 55506, 63261, 52979, 2455, 2629, 2442, 10000, 1502, 1517
420000, 27, 198604, 202935, 207548, 211990, 216362, 220728, 7518, 7763, 7768, 7768, 7877, 7934
250000, 39, 210262, 58752, 31707, 13630, 10000, 10000, 10073, 10011, 1000, 10000, 10000, 10000
150000, 41, 9682, -399, 0, 0, 399, 150, 399, 399, 0, 399, 150, 200
50000, 45, 10723, 9872, 658, 1473, 1473, 1473, 1000, 658, 1000, 1473, 1473, 540
50000, 25, 51044, 50231, 46677, 44982, 21399, 20859, 2500, 3008, 1000, 761, 800, 704
360000, 36, 18641, 7174, 11044, 15887, 8607, 8843, 7174, 11044, 15895, 8607, 8843, 3000
240000, 37, 157668, 165762, 173429, 176943, 176843, 177183, 10762, 10429, 10423, 6843, 7183, 6398
50000, 46, 65, 0, 1271, 940, 110, 0, 0, 1271, 949, 110, 0, 558
30000, 25, 26376, 27483, 28242, 16498, 16923, 17649, 1550, 1308, 1300, 700, 1000, 2000
140000, 25, 2229, 15985, 0, 0, 0, 0, 15980, 0, 0, 0, 0, 0
210000, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
360000, 34, 2500, 2500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80000, 45, 390, 390, 390, 390, 390, 390, 390, 390, 390, 390, 390, 390
270000, 31, 173, 2254, 3679, 4065, 3975, 8195, 2254, 1522, 4065, 4056, 81, 83
220000, 37, 48166, 49164, 46730, 45680, 46651, 49507, 2100, 3900, 0, 1858, 3800, 0
200000, 35, 72450, 52795, 41861, 34531, 1794, -345, 5556, 1000, 2000, 1000, 0, 0
150000, 47, 103226, 64671, 64293, 58024, 59230, 54638, 2627, 4123, 0, 1304, 1338, 376
20000, 48, 19590, 19120, 18932, 18749, 18620, 18668, 1308, 1593, 800, 700, 741, 531
320000, 29, 34818, 22718, 9398, 10222, 13791, 13498, 1690, 1500, 1000, 3628, 1041, 1006
310000, 46, 53474, 11913, 6629, 34342, 1900, 5807, 11919, 6629, 17171, 3800, 5807, 1380
500000, 40, 18436, 2574, 1390, 3186, 1649, 2507, 3001, 1320, 2007, 1651, 2517, 4180
20000, 26, 6690, 8628, 8515, 6584, 3403, 3748, 2600, 1500, 1500, 1000, 402, 0
50000, 53, 50777, 51086, 50321, 20141, 18039, 19349, 2504, 2059, 666, 1000, 2008, 1513
50000, 39, 263, 1209, 946, 576, 18611, 17721, 1209, 0, 0, 18611, 0, 920
50000, 24, 38965, 38063, 38838, 39598, 40313, 41293, 0, 1700, 1700, 1500, 1800, 1700
450000, 32, 0, 1042, 4064, -8, -8, 402, 1042, 3057, 0, 0, 410, 0
500000, 32, 33763, 43081, 44277, 46605, 35766, 26175, 10000, 2200, 3500, 0, 1100, 800
270000, 56, 137807, 123769, 104377, 106651, 109294, 101151, 5000, 5000, 3953, 4500, 4000, 3900
90000, 41, 2833, 6003, 7598, 5036, 4750, 3007, 5000, 3500, 4500, 4300, 0, 1500
60000, 36, 4373, 5428, 9754, 7795, 8258, 8370, 1131, 4457, 37, 500, 300, 0
90000, 56, 59524, 57898, 57739, 55499, 48246, 47850, 2670, 2690, 3041, 3790, 2000, 2000
230000, 31, -9, -9, 986, 0, 0, 900, 0, 995, 0, 0, 900, 0
140000, 26, 136170, 139270, 137548, 96340, 94201, 97068, 6799, 5100, 3300, 3400, 7461, 3498
60000, 42, 1570, 21835, 20680, 390, 390, 14290, 20680, 0, 0, 390, 14290, 2892
60000, 31, 59426, 59643, 61279, 61017, 30117, 29526, 2800, 3200, 2535, 2331, 0, 1073
50000, 34, 11340, 11367, 10982, 10243, 10826, 11699, 3200, 3000, 1000, 1000, 1000, 2000
280000, 25, 139019, 141146, 129252, 103317, 101085, 104181, 4074, 4232, 4022, 3000, 4010, 100022
160000, 42, 3346, 4420, 3062, 6117, 4781, 1450, 4420, 3062, 6119, 4781, 0, 6058
240000, 32, 1386, 1207, 1357, 1559, 23506, 21532, 1207, 1357, 1559, 23506, 1603, 1407
80000, 24, 78913, 78726, 70110, 62590, 54177, 60662, 2900, 2329, 2400, 2000, 7400, 0
180000, 46, 0, 12103, 2250, 899, 0, 1375, 12103, 2250, 899, 0, 1375, 0
200000, 35, 99291, 87757, 82417, 83877, 82814, 35484, 2742, 3000, 2018, 2743, 1578, 9013
280000, 36, 17951, 18915, 7926, 17965, 24432, 10805, 6094, 7966, 18059, 24554, 18860, 17313
80000, 28, 52062, 49884, 22348, 22063, 8723, 7254, 2158, 1708, 1411, 4, 21, 220
360000, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
500000, 30, 943, 5664, -33, 6454, 842, 8031, 5692, 0, 6487, 842, 8111, 7029
140000, 33, 136302, 127178, 78950, 80457, 41150, -10193, 6000, 5000, 4000, 2000, 0, 71000
280000, 26, 25989, 27052, 28111, 29138, 29852, 30717, 1800, 1800, 1800, 1500, 1500, 1500
110000, 29, 48123, 49537, 50422, 50990, 52014, 53206, 2500, 2500, 2000, 2000, 2057, 2500
140000, 37, 37625, 38023, 39577, 39465, 45180, 44213, 1657, 2211, 1459, 6398, 1729, 1633
140000, 42, 158495, 160681, 144194, 144802, 147311, 150207, 5530, 6600, 5100, 5460, 5460, 5100
160000, 27, 0, 1519, 0, 0, 0, 2755, 1519, 0, 0, 0, 2755, 966
160000, 27, 157818, 161308, 162923, 161481, 155819, 168283, 7500, 5800, 5700, 0, 18100, 0
360000, 30, 23725, 45913, 80945, 54064, 52342, 33074, 61137, 79800, 42015, 53710, 33074, 119504
180000, 33, 4500, 2580, 178, 1500, 0, 1118, 2580, 178, 1500, 0, 1118, 1331
