42, 194710, 10, 0, 0, 40
57, 372967, 6, 0, 0, 70
49, 32212, 9, 0, 0, 43
22, 201569, 13, 0, 0, 20
28, 297742, 10, 0, 0, 40
22, 137862, 10, 0, 0, 16
19, 98605, 10, 0, 0, 20
51, 215647, 9, 0, 0, 43
40, 343068, 10, 0, 0, 40
42, 123816, 9, 0, 0, 40
60, 139586, 11, 0, 0, 40
36, 282092, 12, 0, 0, 40
28, 377095, 13, 0, 0, 40
31, 185480, 9, 0, 0, 40
31, 87535, 10, 0, 0, 25
23, 193090, 10, 3674, 0, 40
47, 287828, 13, 0, 0, 40
53, 248834, 13, 0, 0, 50
25, 193773, 9, 0, 0, 35
25, 195914, 10, 3418, 0, 30
19, 109005, 10, 0, 0, 40
24, 169624, 9, 0, 0, 37
18, 80163, 10, 0, 0, 20
21, 197182, 12, 0, 0, 40
50, 137253, 13, 0, 0, 40
41, 197919, 9, 0, 0, 60
45, 75673, 11, 0, 0, 40
51, 47415, 12, 0, 1628, 30
18, 230373, 7, 594, 0, 4
43, 219424, 13, 0, 0, 50
18, 110142, 9, 0, 0, 30
58, 224854, 9, 0, 0, 40
36, 139770, 10, 0, 0, 32
19, 227491, 9, 0, 0, 40
23, 103064, 13, 0, 0, 40
50, 209464, 9, 0, 0, 35
41, 306405, 10, 0, 0, 40
31, 162442, 13, 0, 0, 40
35, 106967, 14, 0, 0, 40
43, 173321, 9, 0, 0, 40
40, 140559, 9, 0, 0, 25
19, 55284, 9, 0, 0, 35
34, 48014, 13, 0, 0, 35
20, 212668, 10, 0, 0, 30
29, 157612, 13, 3325, 0, 45
23, 151910, 13, 0, 1719, 40
24, 212300, 9, 0, 0, 38
38, 185394, 13, 7688, 0, 40
61, 202202, 9, 0, 0, 40
28, 46868, 14, 0, 0, 40
30, 226943, 9, 0, 0, 35
56, 51662, 7, 0, 0, 40
42, 167581, 13, 0, 0, 40
36, 179896, 9, 3137, 0, 40
60, 101096, 16, 0, 0, 65
32, 205528, 9, 0, 0, 40
20, 120572, 10, 0, 0, 12
37, 113120, 11, 0, 0, 40
26, 117833, 13, 0, 1669, 50
50, 155118, 9, 99999, 0, 35
35, 148903, 9, 0, 0, 16
49, 225124, 9, 0, 0, 40
27, 172009, 13, 0, 0, 40
23, 344394, 10, 0, 0, 40
39, 189911, 7, 0, 0, 40
39, 183092, 16, 0, 0, 40
54, 306985, 10, 0, 0, 40
25, 211231, 9, 0, 0, 48
64, 221343, 2, 0, 0, 12
40, 182460, 14, 0, 0, 38
28, 69621, 12, 0, 0, 60
41, 340148, 10, 0, 0, 45
41, 299813, 5, 0, 0, 70
37, 334314, 9, 0, 0, 40
51, 136836, 12, 0, 0, 30
21, 252253, 10, 0, 0, 40
62, 113443, 14, 10520, 0, 33
54, 188136, 13, 0, 1408, 38
27, 77774, 9, 0, 0, 34
24, 191948, 9, 0, 0, 30
49, 328776, 9, 0, 0, 40
29, 77572, 12, 0, 0, 40
29, 138332, 10, 0, 0, 6
23, 220912, 13, 0, 0, 40
49, 186982, 10, 0, 0, 45
40, 289748, 13, 4650, 0, 48
46, 126513, 9, 0, 0, 40
17, 114798, 6, 0, 0, 20
38, 309122, 6, 0, 0, 40
20, 200061, 10, 0, 0, 40
18, 96483, 9, 0, 0, 20
34, 81223, 9, 0, 0, 48
20, 190772, 12, 0, 0, 40
34, 159442, 9, 0, 0, 30
39, 202937, 10, 0, 0, 40
31, 43819, 13, 7688, 0, 43
25, 419658, 9, 0, 0, 8
29, 135296, 13, 0, 2258, 45
62, 33365, 9, 0, 0, 40
34, 32528, 11, 0, 974, 40
28, 261725, 9, 0, 0, 40
35, 243357, 7, 0, 0, 40
47, 105381, 9, 0, 0, 40
27, 126060, 9, 0, 0, 40
50, 73493, 10, 0, 0, 40
52, 153751, 5, 0, 0, 30
44, 216411, 11, 0, 0, 40
38, 312108, 9, 0, 0, 40
54, 111469, 10, 0, 0, 40
35, 94529, 9, 0, 0, 40
22, 369549, 10, 0, 0, 30
26, 137658, 13, 0, 0, 45
18, 165754, 10, 0, 0, 30
70, 158642, 9, 2993, 0, 20
26, 80485, 13, 0, 0, 38
74, 392886, 9, 0, 0, 14
31, 127595, 9, 0, 0, 40
19, 43285, 10, 0, 0, 20
28, 175710, 13, 0, 0, 40
46, 167381, 9, 0, 0, 40
26, 60722, 13, 0, 0, 40
23, 193586, 9, 3908, 0, 40
27, 150080, 13, 0, 0, 40
31, 110554, 9, 4386, 0, 40
74, 104661, 10, 0, 0, 12
64, 285052, 10, 0, 0, 10
