28, 1, 999, 0, -1.8, 93.075, -47.1, 1.365, 5099.1
30, 1, 999, 0, -1.8, 93.075, -47.1, 1.405, 5099.1
43, 1, 999, 0, 1.4, 93.918, -42.7, 4.955, 5228.1
47, 3, 999, 0, -2.9, 92.963, -40.8, 1.26, 5076.2
31, 1, 999, 0, 1.4, 93.918, -42.7, 4.968, 5228.1
54, 3, 999, 0, -1.8, 93.369, -34.8, 0.655, 5008.7
50, 1, 999, 0, -1.1, 94.199, -37.5, 0.877, 4963.6
24, 1, 999, 0, 1.4, 93.918, -42.7, 4.96, 5228.1
23, 3, 999, 0, -2.9, 92.469, -33.6, 1.048, 5076.2
33, 1, 999, 0, 1.4, 94.465, -41.8, 4.962, 5228.1
31, 1, 999, 0, -0.1, 93.2, -42, 4.12, 5195.8
30, 2, 999, 0, -1.8, 92.893, -46.2, 1.334, 5099.1
35, 6, 999, 0, -2.9, 92.963, -40.8, 1.26, 5076.2
47, 1, 999, 0, 1.4, 93.918, -42.7, 4.961, 5228.1
44, 3, 999, 0, 1.1, 93.994, -36.4, 4.857, 5191
35, 1, 999, 1, -1.8, 93.075, -47.1, 1.365, 5099.1
37, 1, 999, 0, 1.1, 93.994, -36.4, 4.857, 5191
29, 6, 999, 0, 1.4, 93.444, -36.1, 4.963, 5228.1
35, 2, 999, 0, 1.4, 93.444, -36.1, 4.965, 5228.1
32, 3, 999, 0, -1.8, 92.893, -46.2, 1.25, 5099.1
27, 3, 999, 0, 1.4, 93.918, -42.7, 4.958, 5228.1
32, 2, 999, 0, -0.1, 93.2, -42, 4.153, 5195.8
38, 1, 999, 0, 1.4, 94.465, -41.8, 4.967, 5228.1
43, 1, 999, 0, 1.1, 93.994, -36.4, 4.857, 5191
48, 1, 999, 1, -1.8, 92.893, -46.2, 1.291, 5099.1
49, 1, 999, 0, -0.1, 93.2, -42, 4.076, 5195.8
36, 3, 999, 0, -1.8, 93.075, -47.1, 1.405, 5099.1
31, 1, 999, 0, 1.4, 93.918, -42.7, 4.961, 5228.1
39, 1, 999, 0, -1.8, 92.893, -46.2, 1.281, 5099.1
30, 4, 999, 0, 1.1, 93.994, -36.4, 4.857, 5191
